frequencies,frequency_uncertainties,decay_rates,decay_rate_uncertainties,confidence_signal_index,full_model_snr,snr_without_signal,full_model_variance,variance_without_signal,snr_delta,variance_delta,noise_snr_delta_mean,noise_snr_delta_median,noise_snr_delta_std,noise_snr_delta_95th_percentile,noise_variance_delta_mean,noise_variance_delta_median,noise_variance_delta_std,noise_variance_delta_95th_percentile,snr_delta_zscore,variance_delta_zscore,snr_empirical_pvalue,variance_empirical_pvalue,snr_noise_rejection_percent,variance_noise_rejection_percent,snr_bh_qvalue,snr_bh_reject_fdr_0_05,variance_bh_qvalue,variance_bh_reject_fdr_0_05,snr_above_noise_95th_percentile,variance_above_noise_95th_percentile,snr_null_percentile,variance_null_percentile
0.003992971,6.75E-07,7.64E-05,8.25E-06,32,14.53781693,5.363209927,2.61E-17,1.86E-16,9.174607,1.60E-16,0.006777401,0.000840979,0.026293975,0.022325627,4.40E-19,5.40E-20,1.69E-18,1.49E-18,348.6665512,94.81153154,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.003953338,5.45E-06,0.000110276,8.54E-06,31,14.53781693,6.828449557,2.61E-17,1.17E-16,7.709367371,9.04E-17,0.014024642,0.00170099,0.03590316,0.10448577,4.57E-19,5.58E-20,1.16E-18,3.41E-18,214.3360845,77.41256555,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.003786152,2.46E-06,4.44E-05,1.48E-05,27,14.53781693,11.83380441,2.61E-17,3.93E-17,2.704012521,1.32E-17,0.019544124,0.010845077,0.026268587,0.05154654,1.28E-19,7.14E-20,1.71E-19,3.38E-19,102.1931035,76.63390167,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.002989354,4.85E-05,6.12E-05,1.75E-05,1,14.53781693,12.75798845,2.61E-17,3.39E-17,1.779828473,7.75E-18,0.019234462,0.014018186,0.019668893,0.059068476,1.01E-19,7.38E-20,1.03E-19,3.10E-19,89.51159627,74.27967381,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.003917525,2.46E-05,0.000310517,4.90E-05,30,14.53781693,12.14103729,2.61E-17,3.74E-17,2.396779641,1.13E-17,0.022281013,0.012437045,0.026850001,0.085193833,1.35E-19,7.59E-20,1.62E-19,5.16E-19,88.43570093,68.55842736,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.003722325,5.67E-06,7.37E-05,6.14E-06,26,14.53781693,5.665877535,2.61E-17,1.68E-16,8.871939393,1.42E-16,0.012441581,0.001692094,0.038452865,0.073153913,6.90E-19,9.51E-20,2.10E-18,4.12E-18,230.3989019,66.93542691,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.003818951,1.50E-06,6.69E-05,1.79E-05,28,14.53781693,6.554369795,2.61E-17,1.26E-16,7.983447132,1.00E-16,0.011589761,0.00211308,0.045075736,0.02749159,4.18E-19,7.84E-20,1.58E-18,1.03E-18,176.8547347,63.24657451,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.003360078,2.15E-06,8.07E-05,2.51E-05,12,14.53781693,7.747530655,2.61E-17,9.09E-17,6.790286273,6.48E-17,0.018235889,0.005578226,0.04756766,0.068454395,4.10E-19,1.28E-19,1.04E-18,1.56E-18,142.3666929,61.776841,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.003632485,2.80E-06,5.63E-05,9.45E-06,22,14.53781693,5.46980497,2.61E-17,1.80E-16,9.068011957,1.53E-16,0.00996532,0.001027708,0.044018349,0.030669244,5.99E-19,6.29E-20,2.57E-18,1.93E-18,205.7788799,59.36110543,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
0.003902267,1.81E-06,5.71E-05,2.98E-06,29,14.53781693,5.59432254,2.61E-17,1.72E-16,8.943494387,1.46E-16,0.011212449,0.001951597,0.045593585,0.047610829,6.34E-19,1.14E-19,2.51E-18,2.80E-18,195.9109354,57.70787173,0.001996008,0.001996008,99.8003992,99.8003992,0.002903284,TRUE,0.002903284,TRUE,TRUE,TRUE,100,100
