subband_index,subband_min_frequency_hz,subband_max_frequency_hz,signal_index,frequency_hz,decay_rate,log_probability
4,0.00315,0.0032,1,0.003167034,3.88E-05,17390.61658
5,0.0032,0.00325,1,0.00324499,4.79E-05,15813.19604
2,0.00305,0.0031,1,0.003074248,4.61E-05,13353.39876
8,0.00335,0.0034,1,0.003357816,4.56E-05,12917.65375
6,0.00325,0.0033,1,0.003261723,4.26E-05,12069.66411
13,0.0036,0.00365,1,0.00363016,5.81E-05,10511.13547
11,0.0035,0.00355,1,0.003539078,4.86E-05,9788.743378
17,0.0038,0.00385,1,0.003816633,6.01E-05,8696.587447
9,0.0034,0.00345,1,0.003448998,4.21E-05,7337.20315
10,0.00345,0.0035,1,0.003455411,4.06E-05,7220.305869
14,0.00365,0.0037,1,0.003666433,0.000119767,7017.403546
3,0.0031,0.00315,1,0.003145892,6.46E-05,6009.075942
7,0.0033,0.00335,1,0.003342385,7.62E-05,5192.753607
12,0.00355,0.0036,1,0.00355501,9.28E-05,4696.392972
1,0.003,0.00305,1,0.003044289,0.000105204,4614.122688
16,0.00375,0.0038,1,0.003791383,7.17E-05,4250.26047
18,0.00385,0.0039,1,0.00389499,6.07E-05,4215.944423
10,0.00345,0.0035,2,0.003496393,4.37E-05,4090.666109
19,0.0039,0.00395,1,0.003904309,6.52E-05,3803.589333
1,0.003,0.00305,2,0.003004108,3.64E-05,3134.346091
4,0.00315,0.0032,3,0.003183267,3.77E-05,2975.026653
12,0.00355,0.0036,2,0.0036,4.81E-05,2250.08243
15,0.0037,0.00375,1,0.003721242,0.000113258,2193.346152
13,0.0036,0.00365,3,0.003645792,5.81E-05,2172.508647
6,0.00325,0.0033,3,0.003277355,4.61E-05,2059.733948
20,0.00395,0.004,1,0.003980361,0.000117628,1948.710779
1,0.003,0.00305,3,0.003033166,4.05E-05,1919.098545
9,0.0034,0.00345,3,0.003433166,4.21E-05,1904.026704
10,0.00345,0.0035,3,0.00345,8.10E-05,1840.990824
