Mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem
0s2,309.25,0.25,309.28,2.3,0.25,1.962,434.78,47.26,509.68,2.23E-06,2.43E-07,1.91E-06
0t2,378.7,0.5,379.17,3.53,0.65,3.994,283.29,52.16,250.38,4.20E-06,7.73E-07,4.76E-06
2s1,,,403.96,,,2.52,,,396.83,,,3.20E-06
0s3,468.46,0.15,468.56,2.46,0.15,2.395,406.50,24.79,417.54,3.62E-06,2.21E-07,3.53E-06
0t3,585.45,0.5,586.16,4.45,0.5,4.167,224.72,25.25,239.98,8.18E-06,9.20E-07,7.67E-06
0s4,646.82,0.1,647.07,2.75,0.25,2.68,363.64,33.06,373.13,5.59E-06,5.08E-07,5.45E-06
1s2,680.13,0.2,679.85,3.12,0.2,3.222,320.51,20.55,310.37,6.67E-06,4.27E-07,6.88E-06
0t4,765.64,0.3,765.66,3.92,0.3,4.382,255.10,19.52,228.21,9.43E-06,7.22E-07,1.05E-05
0s0,814.38,0.01,814.31,0.19,0.03,0.188,"5,263.16",831.02,"5,319.15",4.86E-07,7.68E-08,4.81E-07
0s5,840.01,0.1,840.42,2.92,0.15,2.812,342.47,17.59,355.62,7.71E-06,3.96E-07,7.42E-06
0t5,928.3,0.25,928.24,3.92,0.35,4.621,255.10,22.78,216.40,1.14E-05,1.02E-06,1.35E-05
2s2,,,937.85,,,10.432,,,95.86,,,3.07E-05
1s3,939.9,0.2,939.83,3.01,0.15,3.537,332.23,16.56,282.73,8.89E-06,4.43E-07,1.04E-05
3s1,944.35,0.15,943.95,1.17,0.05,1.209,854.70,36.53,827.13,3.47E-06,1.48E-07,3.59E-06
0s6,1037.53,0.1,1038.21,3.04,0.1,2.879,328.95,10.82,347.34,9.91E-06,3.26E-07,9.39E-06
0t6,1079.2,0.2,1078.83,4.06,0.3,4.868,246.31,18.20,205.42,1.38E-05,1.02E-06,1.65E-05
3s2,1106.3,0.3,1106.2,3.3,0.3,2.728,303.03,27.55,366.57,1.15E-05,1.04E-06,9.48E-06
1s4,1172.78,0.2,1172.85,3.5,0.2,3.689,285.71,16.33,271.08,1.29E-05,7.37E-07,1.36E-05
0t7,1221.15,0.2,1220.7,4.8,0.3,5.112,208.33,13.02,195.62,1.84E-05,1.15E-06,1.96E-05
0s7,1231.05,0.1,1231.79,2.95,0.15,2.923,338.98,17.24,342.11,1.14E-05,5.80E-07,1.13E-05
1t1,1235.3,0.5,1236.11,3.5,0.3,3.847,285.71,24.49,259.94,1.36E-05,1.16E-06,1.49E-05
2s3,1242.95,0.15,1242.19,2.5,0.2,2.407,400.00,32.00,415.45,9.76E-06,7.81E-07,9.39E-06
1t2,1319.15,0.2,1320.13,3.35,0.25,3.901,298.51,22.28,256.34,1.39E-05,1.04E-06,1.62E-05
0t8,1356.6,0.35,1356.11,5.1,0.3,5.346,196.08,11.53,187.06,2.17E-05,1.28E-06,2.28E-05
1s5,1370,0.2,137027,3.1,0.2,3.426,322.58,20.81,291.89,1.33E-05,8.61E-07,1.47E-03
2s4,1379.7,2,1379.2,2.6,0.2,2.63,384.62,29.59,380.23,1.13E-05,8.67E-07,1.14E-05
4s1,1411.7,0.2,1412.64,2.6,0.25,2.817,384.62,36.98,354.99,1.15E-05,1.11E-06,1.25E-05
0s8,1412.85,0.1,1414.51,2.92,0.1,2.964,342.47,11.73,337.38,1.30E-05,4.44E-07,1.32E-05
3s3,,,1417.19,,,11,,,90.91,,,4.90E-05
1t3,1438.5,0.3,1439.13,3.75,0.25,3.955,266.67,17.78,252.84,1.69E-05,1.13E-06,1.79E-05
0t9,1487.07,0.2,1486.61,5.2,0.3,5.566,192.31,11.09,179.66,2.43E-05,1.40E-06,2.60E-05
2s5,1515.6,0.3,1514.93,3.3,0.2,3.309,303.03,18.37,302.21,1.57E-05,9.52E-07,1.57E-05
1s6,1521.5,0.2,1522.04,2.45,0.15,2.893,408.16,24.99,345.66,1.17E-05,7.17E-07,1.38E-05
0s9,1577.55,0.15,1578.28,2.9,0.15,3.005,344.83,17.84,332.78,1.44E-05,7.43E-07,1.49E-05
1t4,1585.5,0.4,1585.5,3.6,0.3,4.006,277.78,23.15,249.63,1.79E-05,1.49E-06,2.00E-05
0t10,1613.67,0.4,1613.26,5.67,0.35,5.773,176.37,10.89,173.22,2.87E-05,1.77E-06,2.93E-05
1s0,1631.57,0.05,1631.34,0.5,0.03,0.667,"2,000.00",120.00,"1,499.25",2.56E-06,1.54E-07,3.42E-06
1s7,1654.55,0.15,1655.51,2.4,0.15,2.687,416.67,26.04,372.16,1.25E-05,7.80E-07,1.40E-05
2s6,1681.3,0.3,1680.84,4.1,0.2,4.203,243.90,11.90,237.93,2.17E-05,1.06E-06,2.22E-05
5s1,,,1713.79,,,11.019,,,90.75,,,5.93E-05
4s2,1721.65,0.2,1722.3,2.05,0.15,2.303,487.80,35.69,434.22,1.11E-05,8.11E-07,1.25E-05
0s10,1725.6,0.2,1726.47,2.92,0.1,3.05,342.47,11.73,327.87,1.58E-05,5.42E-07,1.65E-05
0t11,1737.42,0.2,1736.85,5.85,0.35,5.963,170.94,10.23,167.70,3.19E-05,1.91E-06,3.25E-05
1t5,1750.15,0.3,1750.49,3.64,0.2,4.061,274.73,15.09,246.24,2.00E-05,1.10E-06,2.23E-05
1s8,1797.8,0.25,1799.3,2.4,0.25,2.635,416.67,43.40,379.51,1.36E-05,1.41E-06,1.49E-05
3s4,,,1833.3,,,11.113,,,89.98,,,6.40E-05
0t12,1858.82,0.2,1857.94,5.95,0.35,6.138,168.07,9.89,162.92,3.47E-05,2.04E-06,3.58E-05
