mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem,ref
0S2,309.25,0.25,309.28,2.3,0.25,1.962,434.7826087,47.25897921,509.6839959,2.23E-06,2.43E-07,1.91E-06,A
0T2,378.7,0.5,379.17,3.53,0.65,3.994,283.286119,52.16316638,250.3755633,4.20E-06,7.73E-07,4.76E-06,A
0S3,468.46,0.15,468.56,2.46,0.15,2.395,406.504065,24.78683323,417.5365344,3.62E-06,2.21E-07,3.53E-06,A
0T3,585.45,0.5,586.16,4.45,0.5,4.167,224.7191011,25.2493372,239.9808015,8.18E-06,9.20E-07,7.67E-06,A
0S4,646.82,0.1,647.07,2.75,0.25,2.68,363.6363636,33.05785124,373.1343284,5.59E-06,5.08E-07,5.45E-06,A
1S2,680.13,0.2,679.85,3.12,0.2,3.222,320.5128205,20.54569362,310.3662322,6.67E-06,4.27E-07,6.88E-06,"26c ,A"
0T4,765.64,0.3,765.66,3.92,0.3,4.382,255.1020408,19.52311537,228.2062985,9.43E-06,7.22E-07,1.05E-05,A
0S0,814.38,0.01,814.31,0.19,0.03,0.188,5263.157895,831.0249307,5319.148936,4.86E-07,7.68E-08,4.81E-07,"21c ,A"
0S5,840.01,0.1,840.42,2.92,0.15,2.812,342.4657534,17.59241884,355.6187767,7.71E-06,3.96E-07,7.42E-06,A
0T5,928.3,0.25,928.24,3.92,0.35,4.621,255.1020408,22.77696793,216.4033759,1.14E-05,1.02E-06,1.35E-05,"RR,A"
1S3,939.9,0.2,939.83,3.01,0.15,3.537,332.2259136,16.55610865,282.7254736,8.89E-06,4.43E-07,1.04E-05,27
3S1,944.35,0.15,943.95,1.17,0.05,1.209,854.7008547,36.52567755,827.1298594,3.47E-06,1.48E-07,3.59E-06,34c
0S6,1037.53,0.1,1038.21,3.04,0.1,2.879,328.9473684,10.82063712,347.3428274,9.91E-06,3.26E-07,9.39E-06,A
0T6,1079.2,0.2,1078.83,4.06,0.3,4.868,246.3054187,18.19990779,205.4231717,1.38E-05,1.02E-06,1.65E-05,"RR,A"
3S2,1106.3,0.3,1106.21,3.3,0.3,2.728,303.030303,27.54820937,366.568915,1.15E-05,1.04E-06,9.48E-06,27c
1S4,1172.78,0.2,1172.85,3.5,0.2,3.689,285.7142857,16.32653061,271.0761724,1.29E-05,7.37E-07,1.36E-05,27
0T7,1221.15,0.2,1220.7,4.8,0.3,5.112,208.3333333,13.02083333,195.6181534,1.84E-05,1.15E-06,1.96E-05,"37,RR"
0S7,1231.05,0.1,1231.79,2.95,0.15,2.923,338.9830508,17.23642631,342.1142662,1.14E-05,5.80E-07,1.13E-05,27
1T1,1235.3,0.5,1236.11,3.5,0.3,3.847,285.7142857,24.48979592,259.9428126,1.36E-05,1.16E-06,1.49E-05,"A,RR"
2S3,1242.95,0.15,1242.19,2.5,0.2,2.407,400,32,415.4549231,9.76E-06,7.81E-07,9.39E-06,A
1T2,1319.15,0.2,1320.13,3.35,0.25,3.901,298.5074627,22.27667632,256.344527,1.39E-05,1.04E-06,1.62E-05,"A,RR"
0T8,1356.6,0.35,1356.11,5.1,0.3,5.346,196.0784314,11.53402537,187.0557426,2.17E-05,1.28E-06,2.28E-05,"34,RR"
1S5,1370,0.2,1370.27,3.1,0.2,3.426,322.5806452,20.81165453,291.8855809,1.33E-05,8.61E-07,1.47E-05,27
2S4,1379.7,0.2,1379.2,2.6,0.2,2.63,384.6153846,29.58579882,380.2281369,1.13E-05,8.67E-07,1.14E-05,27
4S1,1411.7,0.2,1412.64,2.6,0.25,2.817,384.6153846,36.98224852,354.9875754,1.15E-05,1.11E-06,1.25E-05,ss
0S8,1412.85,0.1,1413.51,2.92,0.1,2.964,342.4657534,11.72827923,337.3819163,1.30E-05,4.44E-07,1.32E-05,"27c ,RR"
1T3,1438.5,0.3,1439.13,3.75,0.25,3.955,266.6666667,17.77777778,252.8445006,1.69E-05,1.13E-06,1.79E-05,"A,RR"
0T9,1487.07,0.2,1486.61,5.2,0.3,5.566,192.3076923,11.09467456,179.662235,2.43E-05,1.40E-06,2.60E-05,RR
2S5,1515.6,0.3,1514.93,3.3,0.2,3.309,303.030303,18.36547291,302.2061046,1.57E-05,9.52E-07,1.57E-05,27
1S6,1521.5,0.2,1522.04,2.45,0.15,2.893,408.1632653,24.98958767,345.6619426,1.17E-05,7.17E-07,1.38E-05,27
0S9,1577.55,0.15,1578.28,2.9,0.15,3.005,344.8275862,17.83590963,332.7787022,1.44E-05,7.43E-07,1.49E-05,"27c ,RR"
1T4,1585.5,0.4,1585.5,3.6,0.3,4.006,277.7777778,23.14814815,249.6255617,1.79E-05,1.49E-06,2.00E-05,"A,RR"
0T10,1613.67,0.4,1613.26,5.67,0.35,5.773,176.366843,10.88684216,173.2201628,2.87E-05,1.77E-06,2.93E-05,RR
1S0,1631.57,0.05,1631.34,0.5,0.03,0.667,2000,120,1499.250375,2.56E-06,1.54E-07,3.42E-06,"21c ,A"
1S7,1654.55,0.15,1655.51,2.4,0.15,2.687,416.6666667,26.04166667,372.1622627,1.25E-05,7.80E-07,1.40E-05,27
